79909074352,79945804363,55
79911362961,79499133814,55
79344559978,79754237473,40
79794611612,79499133814,24
79709215661,79251050840,14
79574555679,79936289975,59
79534335469,79173817016,44
79127110399,79559549377,24
79100440525,79072547457,56
79924795746,79815268007,22
79860382182,79213708830,47
79391273338,79969474485,39
79329262751,79969474485,14
79964328626,79304763547,26
79853744086,79179998266,20
79652683472,79599265123,28
79480828976,79304763547,8
79450889316,79945804363,40
79378618771,79806174497,2
79136586529,79101173374,17
79641024665,79223337042,17
79433651094,79915680889,32
79555648276,79331698991,59
79083999536,79449794276,2
79217749413,79251050840,33
79915440222,79754237473,56
79233126968,79223337042,35
79805231001,79344578395,44
79302798588,79815268007,22
79637991101,79683150525,38
79343831413,79815268007,37
79714364542,79317815267,36
79611945379,79317815267,43
79492537460,79433041899,18
79543168506,79223337042,33
79302991058,79093345644,50
79826788383,79223337042,29
79514335168,79093345644,23
79562000462,79101173374,50
79656675263,79259109095,10
79482126720,79979695707,37
79644859492,79605854597,31
79531791740,79683150525,57
79432683770,79259109095,52
79271775987,79637577867,36
79767231369,79093345644,11
79781211935,79072547457,35
79408479817,79247669564,12
79526229757,79093345644,8
79965894678,79945804363,11
79362989962,79083733100,57
79850785525,79637577867,40
79205849182,79271197225,43
79221682139,79499133814,36
79735796013,79683150525,32
79477429924,79223337042,52
79457953448,79259109095,11
79209071266,79720693804,27
79857748108,79271197225,28
79665588538,79556381557,59
79907623772,79259109095,57
79049358436,79057510563,34
79968788036,79213708830,31
79938353319,79331698991,40
79747014503,79945804363,1
79484385926,79004187910,37
79737298677,79073073196,7
79466517191,79083733100,1
79748084766,79535756679,39
79724828134,79559549377,8
79189719972,79433041899,38
79258181450,79425676426,8
79434455600,79559549377,6
79580860536,79535756679,18
79982937271,79004187910,29
79215138397,79004187910,27
79197899145,79556381557,59
79988268974,79173817016,33
79564389765,79720693804,46
79296841596,79093345644,41
79098316170,79223337042,13
79990565589,79559549377,14
79384273348,79979695707,27
79919990787,79535756679,34
79577052875,79442589132,56
79540015972,79683150525,15
79941926002,79970069389,55
79098192460,79806174497,42
79616038928,79083733100,23
79863758890,79317815267,29
79907985071,79433041899,9
79646126881,79806174497,54
79485759619,79014245223,48
79018802113,79271197225,40
79330450144,79119875927,55
79788733083,79844063064,12
79120286570,79442589132,40
79575887453,79302420798,8
79244324294,79442012489,41
79984301277,79449794276,42
79111966285,79223337042,9
79272945246,79173817016,40
79477709330,79449794276,10
79440450065,79317815267,5
79560417996,79247669564,6
79632918185,79271197225,11
79903966703,79213708830,54
79109991869,79014245223,50
79514747940,79425676426,28
79041748091,79605854597,26
79062397289,79815268007,32
79853449172,79304763547,6
79035628292,79004187910,7
79264480506,79331698991,11
79234796697,79269912163,2
79616316944,79251050840,42
79077153208,79745234755,16
79321628984,79844063064,24
79961093663,79683150525,16
79522014230,79101173374,22
79294989243,79754237473,53
79676768743,79970069389,12
79993408273,79073073196,45
79073132843,79304763547,5
79893973137,79073073196,3
